代码,名称,类别,AUM,日均量,剔除原因,剔除说明,主题
WEEI,Westwood Salient Enhanced Energ,Equity Energy,105408832.0,45546.0,illiquid,规模 1.05 亿美元 ≤ 2 亿,
WOOD,iShares Global Timber & Forestr,Natural Resources,270820800.0,23374.0,illiquid,3 月日均量 2.3 万股 ≤ 10 万股,
WQTM,WisdomTree Quantum Computing Fu,Technology,336713376.0,237188.0,dedup,同主题「量子计算」，代表为 QTUM Defiance Quantum ETF,量子计算
WTAI,WisdomTree Artificial Intellige,Technology,714667390.0,330131.0,dedup,同主题「人工智能」，代表为 BAI iShares A.I. Innovation and Tec,人工智能
XAIX,Xtrackers Artificial Intelligen,Technology,173397248.0,25561.0,illiquid,规模 1.73 亿美元 ≤ 2 亿,
XAR,State Street SPDR S&P Aerospace,Industrials,5850784800.0,230684.0,dedup,同主题「国防航天」，代表为 ITA iShares U.S. Aerospace & Defens,国防航天
XBI,State Street SPDR S&P Biotech E,Health,11404576800.0,8666887.0,,,生物科技
XES,State Street SPDR S&P Oil & Gas,Equity Energy,398253952.0,77852.0,illiquid,3 月日均量 7.8 万股 ≤ 10 万股,
XHB,State Street SPDR S&P Homebuild,Consumer Cyclical,1331822720.0,2157057.0,dedup,同主题「住宅建造」，代表为 ITB iShares U.S. Home Construction ,住宅建造
XHE,State Street SPDR S&P Health Ca,Health,180695152.0,27477.0,illiquid,规模 1.81 亿美元 ≤ 2 亿,
XHS,State Street SPDR S&P Health Ca,Health,212743856.0,31407.0,illiquid,3 月日均量 3.1 万股 ≤ 10 万股,
XLB,State Street Materials Select S,Natural Resources,8752943100.0,11094112.0,,,材料
XLC,State Street Communication Serv,Communications,22430177300.0,5648785.0,,,通信服务
XLE,State Street Energy Select Sect,Equity Energy,41438106000.0,29540098.0,,,能源
XLF,State Street Financial Select S,Financial,54592369000.0,31620920.0,,,金融
XLI,State Street Industrial Select ,Industrials,31947403300.0,6831507.0,,,工业
XLK,State Street Technology Select ,Technology,121437733000.0,8241784.0,,,科技综合
XLP,State Street Consumer Staples S,Consumer Defensive,14524716000.0,10513747.0,,,必需消费
XLRE,State Street Real Estate Select,Real Estate,8312176100.0,5139779.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
XLU,State Street Utilities Select S,Utilities,21836873700.0,20017006.0,,,公用事业
XLV,State Street Health Care Select,Health,43909784000.0,9175703.0,,,医疗保健
XLY,State Street Consumer Discretio,Consumer Cyclical,22749814800.0,7053425.0,,,可选消费
XME,State Street SPDR S&P Metals & ,Natural Resources,4885382700.0,1982166.0,,,金属矿业
XNTK,State Street SPDR NYSE Technolo,Technology,1889899780.0,54280.0,illiquid,3 月日均量 5.4 万股 ≤ 10 万股,
XOP,State Street SPDR S&P Oil & Gas,Equity Energy,3986409220.0,3076552.0,,,油气勘探
XPH,State Street SPDR S&P Pharmaceu,Health,586917380.0,141684.0,dedup,同主题「制药」，代表为 PPH VanEck Pharmaceutical ETF,制药
XRT,State Street SPDR S&P Retail ET,Consumer Cyclical,362040704.0,4076239.0,,,零售
XSD,State Street SPDR S&P Semicondu,Technology,2594918660.0,107226.0,dedup,同主题「半导体」，代表为 SOXX iShares PHLX SOX Semiconductor ,半导体
XSW,State Street SPDR S&P Software ,Technology,509260864.0,48179.0,illiquid,3 月日均量 4.8 万股 ≤ 10 万股,
XT,iShares Future Exponential Tech,Technology,3964617220.0,71292.0,illiquid,3 月日均量 7.1 万股 ≤ 10 万股,
XTL,State Street SPDR S&P Telecom E,Communications,598791740.0,63531.0,illiquid,3 月日均量 6.4 万股 ≤ 10 万股,
XTN,State Street SPDR S&P Transport,Industrials,360320544.0,84253.0,illiquid,3 月日均量 8.4 万股 ≤ 10 万股,
YNOT,Horizon Digital Frontier ETF,Technology,195124256.0,52604.0,illiquid,规模 1.95 亿美元 ≤ 2 亿,
ZAP,Global X U.S. Electrification E,Utilities,451247872.0,110068.0,,,电气化
