代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正,RS5,RS20,RS60,板块,板块5日资金净额_亿,板块当日广度_%,板块当日涨跌_%
sz159697,石油ETF鹏华,2026-09-18,1.319,-1.12,-2.01,8.03,37.9,-25.4,1.3335,1.2855,均线纠缠偏多,0.74,48410687.45,823,0,20.5,44.4,71.8,油气开采及服务,-3.05,94.4,2.91
sh562550,绿电ETF华夏,2026-09-18,1.133,-1.13,1.89,0.44,16.7,-17.18,1.1376,1.1396,空头排列,0.8,79110507.65,847,0,19.7,88.9,51.3,电力,-17.24,60.8,0.38
sh561330,矿业ETF国泰,2026-09-18,0.916,-1.19,-7.75,-2.14,35.9,-29.32,0.9596,0.9361,均线纠缠偏空,0.67,58190164.15,945,1,18.8,12.0,44.4,,,,
sh512400,有色金属ETF南方,2026-09-18,1.732,-1.25,-11.0,-5.82,23.7,-33.26,1.8587,1.8345,均线纠缠偏空,0.56,998631053.5,2197,0,17.9,0.9,35.9,工业金属,-15.41,64.2,0.45
sh510230,金融ETF国泰,2026-09-18,1.326,-1.27,1.69,7.98,43.2,-9.43,1.3392,1.3075,均线纠缠偏多,0.85,92467084.5,3726,1,17.1,86.3,70.9,,,,
sz159611,电力ETF广发,2026-09-18,1.04,-1.33,1.56,0.78,16.2,-17.26,1.0455,1.0474,空头排列,0.65,344649862.95,1140,0,16.2,85.5,53.0,电力,-17.24,60.8,0.38
sh512800,银行ETF华宝,2026-09-18,0.835,-1.42,2.45,11.93,82.8,-2.45,0.8373,0.807,均线纠缠偏多,0.88,907809901.45,2218,1,15.4,91.5,80.3,银行,13.14,58.3,0.21
sh513190,港股通金融ETF华夏,2026-09-18,1.841,-1.45,2.28,13.29,76.5,-3.76,1.8502,1.7721,均线纠缠偏多,1.19,496793585.75,717,0,14.5,89.7,85.5,,,,
sz159869,游戏ETF华夏,2026-09-18,1.08,-1.46,0.65,1.31,12.2,-36.47,1.0943,1.096,空头排列,0.44,414060509.6,1347,0,13.7,72.6,55.6,游戏,-6.79,91.3,1.62
sh517900,银行AH优选ETF招商,2026-09-18,1.568,-1.57,1.88,12.89,85.7,-2.18,1.5707,1.5087,均线纠缠偏多,1.02,37928781.45,1090,0,12.8,88.0,84.6,,,,
sz159766,旅游ETF富国,2026-09-18,0.549,-1.79,-0.9,-0.36,5.6,-34.41,0.5635,0.5592,均线纠缠偏空,0.83,168154256.5,1252,0,12.0,55.6,48.7,旅游及酒店,-4.43,100.0,2.83
sh512670,国防ETF鹏华,2026-09-18,0.786,-2.0,4.94,-6.32,20.8,-28.93,0.7778,0.7733,多头排列,0.6,73492226.4,1731,1,11.1,97.0,34.2,军工装备,-35.19,88.8,1.95
sh513070,港股通消费ETF易方达,2026-09-18,1.026,-2.01,-8.15,-1.35,0.4,-30.86,1.0734,1.0945,空头排列,0.46,58542570.8,1091,0,10.3,9.4,45.3,,,,
sz159731,石化ETF华夏,2026-09-18,0.899,-2.07,-5.37,-2.81,38.4,-19.73,0.9381,0.9236,均线纠缠偏空,0.84,52098971.2,1158,0,9.4,23.1,42.7,石油加工贸易,-7.75,92.6,1.96
sz159825,农业ETF富国,2026-09-18,0.732,-2.14,1.1,12.27,30.0,-20.52,0.7499,0.723,均线纠缠偏多,0.97,117444679.55,1389,0,8.5,82.1,82.1,种植业与林业,-1.5,93.3,2.68
sh516670,畜牧养殖ETF招商,2026-09-18,0.604,-2.58,1.17,11.85,30.4,-20.53,0.6179,0.602,均线纠缠偏多,0.77,43188706.3,1332,0,7.7,82.9,79.5,,,,
sz159865,养殖ETF国泰,2026-09-18,0.535,-2.73,0.94,11.46,27.4,-22.01,0.5487,0.535,均线纠缠偏空,0.87,222787516.4,1346,0,6.8,80.3,78.6,养殖业,-1.94,94.4,2.46
sz159267,航天ETF华安,2026-09-18,0.868,-2.8,4.33,-6.97,11.6,-40.26,0.8655,0.866,均线纠缠偏多,0.57,88920888.0,277,0,6.0,94.0,31.6,军工装备,-35.19,88.8,1.95
sz159227,航空航天ETF华夏,2026-09-18,1.026,-2.84,4.48,-6.13,13.0,-39.0,1.0206,1.0193,多头排列,0.43,160954258.7,331,0,5.1,94.9,35.0,军工装备,-35.19,88.8,1.95
sh560280,工程机械ETF广发,2026-09-18,1.443,-2.89,-5.38,-5.81,2.5,-24.29,1.496,1.5266,空头排列,0.42,87929743.2,704,0,4.3,22.2,37.2,工程机械,0.79,85.3,1.2
sh512710,军工龙头ETF富国,2026-09-18,0.637,-2.9,4.94,-3.34,13.2,-34.93,0.6313,0.6293,多头排列,0.64,271130193.55,1714,1,3.4,97.0,41.0,军工装备,-35.19,88.8,1.95
sz159930,能源ETF汇添富,2026-09-18,1.679,-2.95,-4.6,12.01,59.1,-12.87,1.7397,1.6704,均线纠缠偏多,0.93,103766061.7,3159,0,2.6,28.2,81.2,,,,
sh515220,煤炭ETF国泰,2026-09-18,1.249,-3.33,-2.19,15.54,55.0,-12.66,1.3038,1.2269,均线纠缠偏多,0.66,879500396.45,1593,1,1.7,42.7,89.7,煤炭开采加工,-8.85,97.1,2.39
sz159698,粮食ETF鹏华,2026-09-18,0.944,-3.77,5.24,12.78,32.3,-21.85,0.9675,0.8954,均线纠缠偏多,1.91,214538307.35,749,0,0.9,98.3,82.9,种植业与林业,-1.5,93.3,2.68
